combo,count
1 tablespoon black pepper,1027
1 tablespoon green onion,1018
1 serrano pepper,1014
1 chicken thigh,1009
1 can kidney beans,1003
1 can chickpeas,986
1 head cabbage,973
1 tablespoon mirin,965
1 tablespoon sherry,954
1 teaspoon almond extract,949
1 cup beef stock,947
1 butter,944
1 stalk lemongrass,938
1 cinnamon,936
1 cup apple cider vinegar,934
1 lemon zest,934
1 cup strawberry,920
1 oz mozzarella cheese,914
1 cup lentil,914
1 teaspoon honey,907
1 can cream of mushroom soup,906
1 curry leaves,906
1 cup half-and-half,904
1 cup basmati rice,901
1 cup whole wheat flour,900
1 mushroom,900
1 sweet potato,899
1 cup canola oil,898
1 tablespoon ketchup,897
1 tablespoon rosemary,897
1 red pepper flakes,894
1 cup chocolate chips,889
1 cup black olive,886
1 teaspoon Italian seasoning,884
1 lb green beans,884
1 green chili,882
1 quart water,879
1 saffron,878
1 teaspoon five-spice powder,877
1 sprig rosemary,875
1 cup pine nut,871
1 g sugar,866
1 cup vegetable stock,866
1 poblano pepper,863
1 lb pasta,853
1 cup bean sprouts,849
1 cup red wine vinegar,844
1 oz cheddar cheese,835
1 cup pineapple,833
1 tablespoon baking powder,827
1 cup maple syrup,817
1 oz spinach,816
1 tablespoon sour cream,815
1 cup ice,812
1 tablespoon margarine,810
1 cup blueberries,808
1 tablespoon ghee,801
1 teaspoon dill,798
1 tablespoon coconut oil,797
1 tablespoon white wine vinegar,789
1 ice,788
1 ml water,786
1 teaspoon sage,781
1 leaf basil,779
1 tablespoon powdered sugar,777
1 flour,776
1 teaspoon italian seasoning,775
1 lb ground beef,775
1 teaspoon saffron,773
1 cup shallot,773
1 oz pasta,761
1 pack spinach,754
1 tablespoon peanut butter,754
1 cup margarine,753
1 teaspoon oil,750
1 tablespoon garlic powder,749
1 cup black beans,747
1 cup quinoa,739
1 lb bacon,739
1 cup cucumber,737
1 teaspoon lime juice,736
1 g tomato,731
1 tablespoon hoisin sauce,728
1 oz chocolate,724
1 tablespoon lemon zest,723
1 pie crust,720
1 powdered sugar,720
1 cup green beans,716
1 cup cornstarch,716
1 mint,716
1 bunch green onion,714
1 cup sherry,714
1 head lettuce,709
1 olive,701
1 cup red pepper,700
1 cup shortening,698
1 cabbage,698
1 lb chorizo,696
1 oz feta cheese,694
1 corn,692
1 sprig parsley,692
1 can beef broth,690
1 cup cranberry,687
1 can refried beans,685
1 salmon,684
1 lb pork shoulder,683
1 pack taco seasoning,682
1 tablespoon shallot,680
1 star anise,678
1 cup oats,672
1 teaspoon marjoram,667
1 tablespoon cinnamon,663
1 teaspoon hot sauce,662
1 shrimp,658
1 tablespoon yogurt,653
1 ml milk,653
1 cup zucchini,647
1 tablespoon maple syrup,645
1 cup cocoa powder,645
1 pack yeast,640
1 lb butter,638
1 tablespoon cocoa powder,638
1 can cream of chicken soup,635
1 head garlic,634
1 lime juice,633
1 lb flank steak,632
1 cup beer,631
1 tablespoon red curry paste,630
1 cup arugula,630
1 cup arborio rice,626
1 dash salt,625
1 cup chickpeas,624
1 cup green bell pepper,623
1 pork,618
1 cup balsamic vinegar,616
1 vanilla,616
1 can mushroom,611
1 salsa,610
1 taco seasoning,610
1 head cauliflower,607
1 cup cottage cheese,606
1 cup apple,605
1 pear,602
1 rice,602
1 bunch parsley,598
1 cup mustard,595
1 lb asparagus,595
1 lb carrot,592
1 teaspoon caraway,590
1 tablespoon orange juice,590
1 tablespoon rice wine,590
1 teaspoon vinegar,587
1 cup rice vinegar,582
1 piece ginger,580
1 can enchilada sauce,576
1 white pepper,573
1 salt and black pepper,569
1 cup marinara sauce,565
1 cup pasta,565
1 tablespoon sriracha,561
1 yeast,558
1 teaspoon lime zest,558
1 fennel,557
1 tablespoon sake,557
1 oz tomato sauce,552
1 ml cream,552
1 teaspoon water,551
1 bar tofu,550
1 can pineapple,548
1 cup ham,546
1 paprika,545
1 tablespoon pepper,542
1 cup raspberry,539
1 tablespoon vanilla extract,538
1 oregano,537
1 cup couscous,535
1 teaspoon cream of tartar,533
1 tablespoon sherry vinegar,531
1 cup barbecue sauce,531
1 can sweetened condensed milk,527
1 pint tomato,522
1 lb spaghetti,522
1 g beef,521
1 teaspoon chili flakes,521
1 lb salmon,520
1 tablespoon almonds,516
1 can cannellini beans,511
1 cup tomato paste,511
1 cup evaporated milk,510
1 tablespoon garam masala,510
1 teaspoon sesame seeds,509
1 oz parmesan cheese,509
1 coriander,507
1 cup broth,507
1 cup cream cheese,505
1 lb pork tenderloin,505
1 cup coffee,505
1 cup stock,501
1 teaspoon orange zest,500
1 can pinto beans,498
1 cheese,497
1 can chickpea,496
1 slice ginger,496
1 teaspoon fenugreek,495
1 shiitake mushroom,493
1 cup molasses,493
1 can tuna,493
1 oz bacon,491
1 cup corn syrup,491
1 lasagna noodle,490
1 oz goat cheese,489
1 cup romaine lettuce,489
1 cup caster sugar,488
1 cup green peas,484
1 tablespoon pine nut,482
1 cup salt,481
1 cube chicken bouillon,480
1 tablespoon cream,479
1 cup skim milk,479
1 tablespoon Italian seasoning,476
1 can black olive,475
1 oz flour,474
1 scallion,474
1 food coloring,472
1 cup scallion,472
1 anchovy,471
1 cup swiss cheese,468
1 tablespoon Shaoxing wine,468
1 cup chicken breast,468
1 teaspoon fish sauce,467
1 pita,466
1 cup tortilla chips,466
1 cup apricot,465
1 cup rolled oats,464
1 tablespoon rum,464
1 hamburger bun,463
1 cup cauliflower,462
1 cup pistachio,462
1 lb ham,461
1 sausage,459
1 peach,457
1 lb onion,456
1 cup kale,456
1 oz water,455
1 sheet puff pastry,455
1 tablespoon bread crumbs,455
1 cup half and half,454
1 teaspoon cilantro,452
1 tortilla chips,451
1 cup almond,450
1 lb spinach,450
1 inch cinnamon,450
1 slice white bread,449
1 dash pepper,448
1 teaspoon tarragon,448
1 radish,448
1 oz sour cream,447
1 teaspoon mint,442
1 teaspoon flour,439
1 tablespoon miso,439
1 oz rice noodles,437
1 cup macaroni,436
1 ginger,436
1 cup sesame seeds,436
1 lb pork loin,435
1 tablespoon horseradish,435
1 teaspoon asafoetida,433
1 thyme,432
1 cup rum,432
1 cup jasmine rice,431
1 oz ricotta,430
1 can evaporated milk,429
1 lamb,426
1 tablespoon yeast,426
1 cup pineapple juice,426
1 tablespoon sage,426
1 cup gruyere cheese,425
1 g potato,423
1 lb mozzarella cheese,422
1 tablespoon wine,420
1 cup dill,419
1 oz spaghetti,418
1 cup mango,418
1 tablespoon curry paste,415
1 pineapple,415
1 oz beef,415
1 tablespoon tarragon,408
1 cup pesto,407
1 slice ham,406
1 tablespoon italian seasoning,405
1 cup cherry,401
1 jar salsa,401
1 jar spaghetti sauce,398
1 cup chives,397
1 teaspoon onion,397
1 chipotle pepper,397
1 slice prosciutto,395
1 lb beef chuck,394
1 cup hazelnut,394
1 cup bread,394
1 cup snow peas,393
1 tomatillo,392
1 tablespoon jalapeno,391
1 leaf lettuce,389
1 tablespoon tamari,388
1 teaspoon celery seed,388
1 tablespoon chili sauce,387
1 g mushroom,385
1 cup nuts,385
1 cup rice flour,384
1 garlic powder,383
1 tablespoon taco seasoning,382
1 hot sauce,381
1 cup romano cheese,381
1 lb steak,381
1 oz tequila,377
1 head romaine lettuce,375
1 tablespoon sunflower oil,375
1 tablespoon rice wine vinegar,375
1 teaspoon chili paste,375
1 oz chicken breast,374
1 cup almond milk,373
1 cup hoisin sauce,372
1 cauliflower,372
1 beef,371
1 cup tomato juice,370
1 tablespoon white wine,369
1 oz cheese,368
1 teaspoon orange peel,367
1 tablespoon coconut,366
1 cup peanut oil,366
1 ml olive oil,366
1 whipped cream,366
1 sheet nori,365
1 can artichoke,365
1 tablespoon raisin,361
1 sprig cilantro,361
1 tablespoon brandy,360
1 oz shrimp,360
1 cup enchilada sauce,359
1 oz bittersweet chocolate,359
1 tablespoon hot sauce,359
1 oz rum,359
1 tablespoon onion powder,359
1 teaspoon hot pepper sauce,356
1 cup olives,356
1 cup date,355
1 cup cocoa,354
1 tablespoon peanut,352
1 oz ham,352
1 tablespoon tahini,352
1 tablespoon molasses,351
1 cup Italian dressing,351
1 portobello mushroom,349
1 cup all-purpose flour,346
1 chipotle,346
1 cup ginger,344
1 oz tomato paste,344
1 lb sweet potato,343
1 cup white wine vinegar,343
1 cup apple juice,342
1 lb scallops,340
1 cup orzo,339
1 bunch basil,339
1 strawberry,338
1 cup breadcrumb,338
1 cup jalapeno,338
1 teaspoon chili pepper,337
1 lb mussels,337
1 oz tofu,335
1 oz egg noodles,335
1 tablespoon sweet chili sauce,334
1 cube beef bouillon,334
1 sprig mint,333
1 tablespoon corn syrup,332
1 tablespoon tomato puree,330
1 tablespoon orange zest,329
1 tablespoon chili paste,329
1 teaspoon balsamic vinegar,327
1 cup sun-dried tomato,327
1 g chicken,327
1 oz chorizo,327
1 can tomatoes,327
1 cup shrimp,326
1 oz sugar,326
1 tablespoon cocoa,324
1 oz vodka,323
1 teaspoon canola oil,323
1 cheddar cheese,322
1 sage,322
1 cup semolina,321
1 cup lentils,321
1 can water chestnut,321
1 cup sauce,320
1 teaspoon Tabasco sauce,319
1 lb veal,319
1 milk,317
1 tablespoon turmeric,314
1 lb pork sausage,313
1 oz prosciutto,313
1 cup tequila,312
1 g spinach,312
1 cm ginger,312
1 ricotta,310
1 yogurt,309
1 teaspoon sriracha,309
1 almonds,309
1 kaffir lime leaves,308
1 cup chickpea,307
1 cup water chestnut,307
1 cumin,305
1 tablespoon pesto,303
1 wonton wrappers,303
1 parsnip,302
1 oz beer,302
1 g almonds,301
1 cup pumpkin,301
1 lb chicken wings,300
1 tablespoon red pepper flakes,300
1 g caster sugar,298
1 slice tomato,298
1 oz monterey jack cheese,298
1 oz salmon,297
1 lb meat,295
1 beet,295
1 cup tahini,295
1 cup pepper jack cheese,295
1 butternut squash,293
1 lb ricotta,293
1 cup artichoke,292
1 lb tofu,292
1 tablespoon palm sugar,291
1 cup salad greens,291
1 cup shiitake mushroom,291
1 teaspoon celery salt,291
1 allspice,290
1 lb tomatillo,288
1 tablespoon shortening,288
1 chili powder,287
1 cup self-rising flour,287
1 turnip,285
1 cup currants,285
1 cup sweet chili sauce,284
1 pack tofu,283
1 teaspoon chicken bouillon,281
1 oz pancetta,281
1 cup guacamole,280
1 chives,280
1 cup sweet potato,279
1 kiwi,278
1 cup fish sauce,278
1 lb cheddar cheese,278
1 teaspoon lemon peel,278
1 cup ranch dressing,276
1 tablespoon vanilla,276
1 lb zucchini,275
1 tablespoon heavy cream,275
1 tablespoon cooking spray,273
1 cup goat cheese,273
1 lb cod,273
1 cup whole milk,272
1 cup radish,272
1 pack mushroom,272
1 black olive,271
1 oz noodles,271
1 cup creme fraiche,271
1 stick butter,270
1 cup chocolate,269
1 onion soup mix,269
1 lb linguine,269
1 ml wine,269
1 cup mixed vegetables,268
1 g chicken breast,268
1 slice provolone cheese,268
1 cup Worcestershire sauce,267
1 cup sake,266
1 cup grape,266
1 cup brandy,266
1 cup garlic,265
1 cup chickpea flour,265
1 oz milk,265
1 lb beef tenderloin,264
1 Tabasco sauce,264
1 teaspoon tomato paste,263
1 cup blue cheese,263
1 cup apple cider,263
1 plantain,262
1 cup Mexican cheese blend,262
1 dash cayenne pepper,262
1 lb eggplant,261
1 cup applesauce,259
1 teaspoon liquid smoke,258
1 cup marsala wine,258
1 cup fresh cheese,257
1 tablespoon cornmeal,257
1 g parmesan cheese,257
1 lb beef chuck roast,256
1 cup cotija cheese,256
1 cup mozzarella,256
1 cup dashi,256
1 lb fish,255
1 teaspoon red wine vinegar,255
1 soy sauce,255
1 lb crab meat,255
1 cup pasta sauce,254
1 pizza crust,254
1 lb sirloin,252
1 can olive,252
1 tablespoon herbs,252
1 artichoke,252
1 pita bread,251
1 g onion,251
1 cup coconut cream,251
1 chili peppers,250
1 tablespoon ginger garlic paste,250
1 wedge lime,249
1 oz yogurt,248
1 cup leek,248
1 oz pork,246
1 oz green beans,246
1 cup pepper,246
1 oz onion,245
1 cup soy milk,244
1 chocolate,244
1 cup tomato puree,244
1 l water,243
1 habanero pepper,243
1 cup mirin,242
1 ml coconut milk,241
1 bottle beer,240
1 oz black beans,240
1 tablespoon tamarind paste,240
1 teaspoon anise seed,239
1 teaspoon ginger garlic paste,238
1 teaspoon lemon pepper,238
1 teaspoon apple cider vinegar,238
1 teaspoon mace,238
1 tablespoon salsa,237
1 oz green chili,237
1 pack pasta,237
1 oz mushrooms,237
1 oz chicken broth,236
1 cup egg substitute,235
1 jalapeno pepper,235
1 cup butternut squash,234
1 cup banana,234
1 teaspoon mixed spice,234
1 teaspoon horseradish,234
1 pork loin,233
1 g yogurt,233
1 cup pecorino romano,233
1 teaspoon chili pepper flakes,232
1 asafoetida,232
1 cup edamame,231
1 guacamole,230
1 cup peach,230
1 tablespoon mustard seed,229
1 g feta cheese,229
1 cup salad dressing,229
1 tablespoon fennel seed,227
1 teaspoon chives,226
1 oz coconut milk,226
1 bun,226
1 cup bacon,225
1 oz shiitake mushroom,224
1 rosemary,224
1 lb apple,223
1 cup spaghetti sauce,223
1 oz lime juice,222
1 bunch spinach,222
1 teaspoon capers,222
1 mustard,222
1 cup masa harina,222
1 cup beans,221
1 slice swiss cheese,221
1 dash black pepper,221
1 cup wild rice,221
1 cup beef,221
1 sesame seeds,220
1 cup teriyaki sauce,219
1 cup blackberry,219
1 teaspoon rice vinegar,219
1 tablespoon bell pepper,218
1 cup chili sauce,218
1 tablespoon lime zest,218
1 coconut,218
1 romaine lettuce,218
1 canola oil,218
1 cup graham cracker crumbs,217
1 cup noodles,217
1 oz almonds,217
1 teaspoon mustard seeds,216
1 tablespoon agave nectar,216
1 bunch asparagus,215
1 leaf kaffir lime,215
1 beef bouillon,214
1 oz cream,214
1 cup refried beans,214
1 bag tortilla chips,214
1 lb cabbage,213
1 bird's eye chili,213
1 g pasta,213
1 pack egg noodles,213
1 cup barley,213
1 tablespoon orange peel,211
1 bunch coriander,211
1 cup wheat flour,210
1 cup kidney beans,210
1 slice onion,210
1 orange juice,210
1 yellow squash,209
1 slice lemon,209
1 cup almond flour,209
1 g dark chocolate,209
1 can hominy,209
1 head broccoli,208
1 can beans,208
1 tablespoon coffee,208
1 oz blue cheese,207
1 oz semisweet chocolate,207
1 teaspoon cajun seasoning,207
1 cup polenta,207
1 teaspoon instant coffee,207
1 tablespoon cayenne pepper,207
1 teaspoon beef bouillon,206
1 kg chicken,206
1 orange zest,204
1 g carrot,204
1 tablespoon tamarind,203
1 lb ground chicken,201
1 g cheese,201
1 teaspoon chili oil,201
1 handful cilantro,200
1 tablespoon caster sugar,200
1 can white beans,200
1 cup watermelon,200
1 thai chili,199
1 tablespoon green curry paste,199
1 lb prawn,198
1 tablespoon chicken bouillon,198
1 dill,198
1 tablespoon corn oil,198
1 can green chilies,198
1 quart milk,197
1 oz corn,197
1 tablespoon chili oil,197
1 teaspoon sichuan pepper,196
1 slice whole wheat bread,196
1 cup pizza sauce,196
1 pizza dough,196
1 asparagus,195
1 beef tenderloin,195
1 can beer,195
1 teaspoon jalapeno,195
1 jar pasta sauce,194
1 lb beef brisket,194
1 lb fettuccine,194
1 cup salsa verde,194
1 lb broccoli,194
1 quart chicken broth,193
1 oz fettuccine,193
1 olives,193
1 g bacon,193
1 pasta,192
1 cup port wine,192
1 teaspoon chili sauce,192
1 english muffin,191
1 dash nutmeg,191
1 oz potato,191
1 roll,191
1 cup pearl barley,191
1 chicken leg,191
1 cup italian dressing,190
1 g lamb,190
1 cup turkey,190
1 quart chicken stock,190
1 cup mascarpone,190
1 cup oatmeal,190
1 tablespoon caraway,189
1 lb skirt steak,189
1 tablespoon cream cheese,189
1 ancho chile,189
1 lb Italian sausage,189
1 teaspoon wasabi,189
1 oz yeast,189
1 garlic salt,188
1 sheet phyllo pastry,188
1 bottle wine,187
1 lb feta cheese,187
1 tablespoon poppy seeds,187
1 oz linguine,187
1 cup baking mix,187
1 tablespoon lemongrass,187
1 g cream cheese,186
1 cup pumpkin puree,186
1 teaspoon caster sugar,185
1 cup provolone cheese,185
1 lb kielbasa,185
1 cup egg noodles,185
1 cup fontina cheese,185
1 bread crumbs,184
1 cup berries,184
1 cup vegetable shortening,184
1 g pork,184
1 tablespoon grapeseed oil,184
1 g chocolate,184
1 pack ramen noodles,184
1 cup green chili,183
1 lime zest,182
1 slice mozzarella cheese,182
1 cup corn flakes,182
1 cup sunflower seed,182
1 can tomato puree,182
1 tablespoon olive,182
1 whipped topping,182
1 oz orange juice,181
1 lb pork belly,181
1 cup vodka,181
1 chicken drumsticks,181
1 cup bulgur,181
1 tablespoon adobo sauce,181
1 dash Tabasco sauce,180
1 kg beef,180
1 lb turkey sausage,179
1 cup capers,179
1 oz chicken,179
1 can chili,178
1 pork tenderloin,178
1 teaspoon fennel,178
1 grapefruit,177
1 tablespoon walnut,177
1 cup whipped cream,177
1 g green beans,176
1 tablespoon tomato sauce,175
1 g powdered sugar,175
1 cup bok choy,174
1 cup pumpkin seeds,174
1 oz sausage,174
1 ml chicken stock,174
1 teaspoon chili,174
1 bunch mint,173
1 tablespoon cajun seasoning,173
1 can green beans,173
1 teaspoon chipotle powder,172
1 tablespoon lard,172
1 tilapia,172
1 g yeast,171
1 cup fish stock,171
1 cup asiago cheese,171
1 green pepper,171
1 pack puff pastry,171
1 turmeric,170
1 jar artichoke,170
1 dash hot sauce,170
1 bunch bok choy,170
1 cup corn oil,170
1 oz mozzarella,170
1 lemongrass,170
1 cup chili powder,170
1 sprig basil,169
1 chorizo,169
1 cup pinto beans,169
1 chipotle peppers in adobo,169
1 squash,168
1 oz carrot,168
1 lb short ribs,168
1 tablespoon chicken broth,168
1 bunch kale,167
1 lb butternut squash,167
1 dash Worcestershire sauce,166
1 tablespoon golden syrup,166
1 cup pepperoni,166
1 cup self-raising flour,166
1 cup prune,166
1 maraschino cherry,165
1 lb pork ribs,165
1 cup ghee,165
1 stalk green onion,164
"1 teaspoon salt, pepper",164
1 teaspoon corn starch,164
1 oz olive oil,164
1 g brown sugar,164
1 teaspoon red curry paste,164
1 gelatin,163
1 cup white rice,163
1 date,163
1 oz lemon juice,163
1 pint strawberry,162
1 maple syrup,162
1 cup lard,162
1 oz pineapple juice,162
1 cup ice cream,162
1 oz salsa,162
1 serrano chili,161
1 l milk,161
1 cup rye flour,161
1 tablespoon tomato,161
1 tablespoon five-spice powder,161
1 oz swiss cheese,161
1 cup rice wine vinegar,160
1 lb flour,160
1 cup oregano,160
1 tablespoon marjoram,160
1 orange peel,160
1 lb cheese,160
1 steak,160
1 cup parmesan,159
1 slice cheese,159
1 turkey,159
1 pack onion soup mix,159
1 teaspoon gelatin,159
1 mayonnaise,159
1 teaspoon cocoa powder,159
1 ciabatta,159
1 bag spinach,159
1 leaf sage,159
1 teaspoon chipotle pepper,159
1 teaspoon poultry seasoning,159
1 kg potato,158
1 apricot,158
1 teaspoon peanut oil,158
1 teaspoon milk,158
1 teaspoon rose water,158
1 cup whipped topping,158
1 cream,157
1 lb sirloin steak,157
1 taco shells,157
1 jar red pepper,157
1 teaspoon onion salt,157
1 sheet phyllo dough,156
1 oz soba noodles,156
1 teaspoon herbs,156
1 g ginger,156
1 teaspoon chaat masala,156
1 oz bread,156
1 teaspoon pumpkin pie spice,156
1 cup picante sauce,155
1 oz provolone cheese,155
1 tablespoon whipping cream,155
1 red chili,154
1 g salt,154
1 can water,154
1 bunch scallion,154
1 g ricotta,154
1 cup watercress,154
1 g cheddar cheese,153
1 oz artichoke,153
1 jar marinara sauce,153
1 teaspoon fenugreek leaves,153
1 papaya,153
1 teaspoon herbes de provence,152
1 lb salami,152
1 scallops,151
1 bread roll,151
1 g prawn,151
1 oz gruyere cheese,151
1 cup hummus,151
1 oz triple sec,151
1 cup mushrooms,150
1 tablespoon pistachio,150
1 teaspoon monosodium glutamate,150
1 fig,150
1 oz olive,149
1 g spaghetti,149
1 leaf mint,149
1 cherry,148
1 can tomato soup,148
1 anchovies,147
1 lb corned beef,147
1 teaspoon white wine vinegar,147
1 pack cheddar cheese,147
1 scotch bonnet pepper,146
1 oz tuna,145
1 teaspoon parmesan cheese,145
1 cup whiskey,145
1 oz ginger,145
1 cup orange marmalade,145
1 mushrooms,145
1 tablespoon celery,145
1 tablespoon black vinegar,144
1 bunch watercress,144
1 cup pico de gallo,144
1 tablespoon rose water,144
1 tablespoon fenugreek leaves,144
1 g rice,143
1 slice cheddar cheese,143
1 tablespoon all-purpose flour,143
1 cup greens,143
1 tablespoon chili pepper,143
1 pack mozzarella cheese,143
1 bacon,142
1 piece chicken,142
1 ml white wine,142
1 cup macadamia nut,142
1 lb brussels sprouts,141
1 cup manchego cheese,141
1 can clams,141
1 cornstarch,141
1 can condensed milk,141
1 sesame oil,141
1 cup split peas,140
1 cup white vinegar,140
1 oz black olive,140
1 tablespoon chia seeds,140
1 duck,140
1 oz dark chocolate,140
1 oz caster sugar,140
1 lb monterey jack cheese,140
1 teaspoon old bay seasoning,140
1 tablespoon wine vinegar,140
1 pack corn,139
1 oz white chocolate,139
1 cup jicama,139
1 peanut oil,139
1 cup asparagus,139
1 ml vegetable stock,139
1 cup pork,138
1 cup tofu,138
1 can mandarin orange,138
1 dash hot pepper sauce,138
1 tablespoon cognac,137
1 g ham,137
